kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,0,10.0,1e-06,4,179,True,5.018580208287802e-08,4.353835877959527e-10,3.5100094244205604e-10,8.75064024715653e-10,0.0010001659393310547
10.0,0,100.0,1e-06,3,156,True,2.8410393543419212e-08,3.2697876611680534e-08,1.6348580908786554e-11,4.938034233497802e-10,0.0019986629486083984
10.0,0,1000.0,1e-06,3,168,True,2.8033839921980924e-09,3.728285298908668e-07,1.0882799203980069e-11,5.240395422193351e-09,0.0010004043579101562
10.0,0,10000.0,1e-06,4,286,True,8.617041503696345e-12,2.7825084071546644e-09,4.4827511948994895e-14,5.060584889769786e-11,0.0020008087158203125
10.0,1,0.0001,0.01,500,3999,False,26.246717736141598,0.00013887025522260542,0.42736046624197943,0.23401100702136005,0.04099678993225098
10.0,1,0.001,0.01,500,3999,False,0.05333727859008636,1.9758358096058255e-06,0.0002935774475526099,0.0009748616147613369,0.039995431900024414
10.0,1,0.01,0.01,155,1226,True,9.510148330748697e-07,3.2970382546729903e-10,4.8603487746005885e-09,1.7432909086988992e-08,0.012765169143676758
10.0,1,0.1,0.01,22,215,True,9.094419276745521e-07,1.0001173106439762e-08,4.658384994819567e-09,1.666973190176733e-08,0.0019998550415039062
10.0,1,1.0,0.01,7,121,True,8.223895432958133e-07,5.299235483655448e-07,4.1556038984088995e-09,1.5562247858160816e-08,0.0010004043579101562
10.0,1,10.0,0.01,8,158,True,4.915892297509596e-08,1.0150976948507365e-07,1.001812000031155e-10,7.268540518377806e-10,0.0011887550354003906
10.0,1,100.0,0.01,8,171,True,5.466537470417274e-08,6.92138315500163e-07,3.373138975981772e-10,8.883521731424764e-09,0.0019981861114501953
10.0,1,1000.0,0.01,9,207,True,5.938023292216879e-10,4.973158833199173e-07,2.8199230706035675e-12,5.709785043550179e-09,0.0009927749633789062
10.0,1,10000.0,0.01,10,261,True,2.4452451456872496e-11,9.027091135724898e-08,4.802649242268494e-14,1.0078526054426292e-09,0.0020067691802978516
10.0,1,0.0001,0.0001,500,7359,False,26.246668500324425,1.3988255616527114e-06,0.427360729677646,0.23401099686927798,0.06417107582092285
10.0,1,0.001,0.0001,500,7364,False,0.05333784672939337,3.234825702285529e-08,0.0002935799253985635,0.0009748702416435182,0.06304287910461426
10.0,1,0.01,0.0001,155,2185,True,9.505947125484223e-07,6.048919009075818e-12,4.857725198502586e-09,1.742518455267082e-08,0.019999980926513672
10.0,1,0.1,0.0001,22,432,True,8.957524791816501e-07,7.235832393087758e-11,4.620211842240852e-09,1.64183417727054e-08,0.003010988235473633
10.0,1,1.0,0.0001,7,197,True,3.471609669573506e-07,1.977791146236668e-09,1.973820409417276e-09,6.343275079570316e-09,0.001997232437133789
10.0,1,10.0,0.0001,4,121,True,9.765869138707994e-08,8.793636848160271e-08,7.154550132453486e-10,1.9999478032704124e-09,0.0009999275207519531
10.0,1,100.0,0.0001,4,151,True,5.817424705864e-08,3.4390452780152315e-07,2.4103258632582404e-10,6.9776077170168286e-09,0.0009920597076416016
10.0,1,1000.0,0.0001,4,181,True,4.2039308177128905e-08,3.672823740230616e-07,1.821189809442277e-11,5.4047728035167664e-09,0.0010001659393310547
10.0,1,10000.0,0.0001,6,299,True,5.275020250844897e-12,2.908789594624095e-09,1.9141823948898292e-14,5.617964021297065e-11,0.0024945735931396484
10.0,1,0.0001,1e-06,500,10684,False,26.246667457793194,2.256189512935803e-08,0.42736071597198866,0.2340109937587071,0.08687973022460938
10.0,1,0.001,1e-06,500,10601,False,0.05333784739886708,2.771259654175968e-10,0.00029357990613948157,0.0009748702558291339,0.08778047561645508
10.0,1,0.01,1e-06,155,3249,True,9.50593498646757e-07,5.722550858488481e-14,4.857744225704835e-09,1.7425162203096188e-08,0.02634429931640625
10.0,1,0.1,1e-06,22,610,True,8.959153956292472e-07,8.910212106613406e-13,4.620630440690321e-09,1.64213319835599e-08,0.0050106048583984375
10.0,1,1.0,1e-06,7,280,True,3.464524164251604e-07,1.2935107746631153e-11,1.9694490816332095e-09,6.329861178027477e-09,0.002334117889404297
10.0,1,10.0,1e-06,4,203,True,9.009969252611608e-08,3.8915886311483733e-10,7.14819435917225e-10,1.6063740589477599e-09,0.000997781753540039
10.0,1,100.0,1e-06,3,161,True,1.9922647313589695e-08,2.6449264971183548e-08,1.3302111948890593e-10,3.6192855456879073e-10,0.0009996891021728516
10.0,1,1000.0,1e-06,3,188,True,7.822611879841181e-10,4.1938919848986457e-08,2.1317343820455714e-12,3.267096433035463e-10,0.0020003318786621094
10.0,1,10000.0,1e-06,3,190,True,2.7519544014760153e-10,5.768413767940753e-07,6.477272283546361e-13,4.8124578015642315e-09,0.0009999275207519531
10.0,2,0.0001,0.01,500,4000,False,17.24683725953064,9.683667601218042e-05,0.22449589645110052,0.23717146586009538,0.04115700721740723
10.0,2,0.001,0.01,500,3617,False,0.022322009622431166,1.5084503644322521e-06,8.140757087867374e-05,0.0006315552809709217,0.0403439998626709
10.0,2,0.01,0.01,149,1043,True,9.321552988998422e-07,6.114657492726128e-10,2.1169557678384233e-09,2.7454459562744533e-08,0.01327204704284668
10.0,2,0.1,0.01,21,185,True,8.721074560832687e-07,9.26881132369301e-09,2.230277781413055e-09,2.555631443455147e-08,0.002001523971557617
10.0,2,1.0,0.01,8,121,True,9.794735717036948e-08,7.937854666378279e-08,1.917906197696236e-10,2.8468548222229204e-09,0.0009982585906982422
10.0,2,10.0,0.01,8,152,True,4.5535887943946015e-08,7.50154021577565e-08,1.1883331353220383e-10,1.1525334492574948e-09,0.0010006427764892578
10.0,2,100.0,0.01,9,170,True,8.407558448906639e-10,7.344497741275899e-07,2.196222358362981e-12,1.68848421201621e-08,0.0019998550415039062
10.0,2,1000.0,0.01,10,211,True,4.967754827171794e-11,3.508205852605746e-08,1.6521688829324944e-13,7.357090023266973e-10,0.0019998550415039062
10.0,2,10000.0,0.01,10,217,True,3.7898451777607934e-11,3.0437270526978384e-07,6.708717814935151e-14,6.741364715692704e-09,0.0020012855529785156
10.0,2,0.0001,0.0001,500,7500,False,17.2468566228139,8.697143622419228e-07,0.22449582802690565,0.23717108227372405,0.07265710830688477
10.0,2,0.001,0.0001,500,7129,False,0.022317283736078435,1.3216843611450423e-08,8.139244807947214e-05,0.0006314045577622153,0.06383323669433594
10.0,2,0.01,0.0001,149,2086,True,9.328450743602132e-07,4.4075015424785336e-12,2.1210981068471363e-09,2.7473920545459657e-08,0.01815938949584961
10.0,2,0.1,0.0001,21,372,True,8.704122065884016e-07,9.011581154145324e-11,2.24950031764691e-09,2.550184576953823e-08,0.003999233245849609
10.0,2,1.0,0.0001,7,191,True,1.457088234184585e-07,6.027430724185024e-10,5.777837610601438e-10,4.128985465861197e-09,0.0009925365447998047
10.0,2,10.0,0.0001,4,114,True,8.676652098241122e-08,8.963571009980885e-08,1.7816030004593287e-10,2.0391148318782408e-09,0.0010025501251220703
10.0,2,100.0,0.0001,4,146,True,2.308544500014623e-08,6.86027693600262e-08,9.514182965917166e-11,9.810466139180516e-10,0.0010132789611816406
10.0,2,1000.0,0.0001,4,169,True,4.446918660351561e-08,1.7031283176546115e-07,3.3971740622592955e-10,3.3242437270878395e-09,0.0019865036010742188
10.0,2,10000.0,0.0001,5,195,True,4.615841200752888e-12,3.285243357091557e-07,3.88399452443614e-14,3.4292735566371214e-09,0.0010001659393310547
10.0,2,0.0001,1e-06,500,10934,False,17.246856395591745,8.175790397403504e-09,0.2244958281852789,0.23717107892273312,0.09111618995666504
10.0,2,0.001,1e-06,500,10545,False,0.022317263183761597,1.0358092659347197e-10,8.139237408525706e-05,0.000631403921490608,0.08867478370666504
10.0,2,0.01,1e-06,149,3014,True,9.328506751903372e-07,6.061649958653107e-14,2.121122234691909e-09,2.7474087972935785e-08,0.026240825653076172
10.0,2,0.1,1e-06,21,545,True,8.706491302109908e-07,1.0503095875352908e-12,2.2500178893414922e-09,2.550901491787226e-08,0.003738880157470703
10.0,2,1.0,1e-06,7,256,True,1.4714808156590313e-07,7.028396935153898e-12,5.808947818258152e-10,4.178059398268908e-09,0.0021212100982666016
10.0,2,10.0,1e-06,4,185,True,4.2744836024107826e-08,2.1379991739159668e-10,3.175480362676631e-10,1.1044210269633882e-09,0.0016450881958007812
10.0,2,100.0,1e-06,3,154,True,8.696764576309636e-09,6.230594017506137e-09,5.1186339959917497e-11,2.2990725857603117e-10,0.0010251998901367188
10.0,2,1000.0,1e-06,3,165,True,3.0333219307222984e-09,1.6590042514271955e-07,8.875515972355434e-12,2.1780897843089854e-09,0.0010068416595458984
10.0,2,10000.0,1e-06,3,174,True,1.149749894600746e-10,6.759720503135594e-07,2.988027605730985e-13,1.2404683887865088e-08,0.0014600753784179688
10.0,3,0.0001,0.01,500,4000,False,31.41815840949073,0.00015792102381016832,0.6387059615380279,0.3213023264583841,0.04093575477600098
10.0,3,0.001,0.01,500,3609,False,0.04131103674527144,1.5653837399373354e-06,0.0004299929813585678,0.0006681657310381677,0.03790616989135742
10.0,3,0.01,0.01,150,1050,True,9.174491768751793e-07,6.442277573090175e-10,4.7250750970417995e-09,1.5411201274429863e-08,0.011739015579223633
10.0,3,0.1,0.01,22,214,True,5.725165007363973e-07,5.737640909240217e-09,3.2173479677912674e-09,9.598532699285176e-09,0.002020120620727539
10.0,3,1.0,0.01,8,135,True,1.0228481160080187e-07,9.629410382087607e-08,6.259954278390961e-10,2.2564693226960414e-09,0.0009799003601074219
10.0,3,10.0,0.01,8,165,True,4.647000111535891e-08,7.66022530141255e-08,2.1733295039656235e-10,7.479175650293015e-10,0.0019991397857666016
10.0,3,100.0,0.01,8,165,True,3.452849134248236e-08,9.706509539307454e-07,3.115682628460802e-10,2.300925555557645e-08,0.0014722347259521484
10.0,3,1000.0,0.01,9,197,True,2.870648078137889e-10,2.890506564117153e-07,1.417895172123949e-12,2.0580769650003218e-09,0.0030527114868164062
10.0,3,10000.0,0.01,10,233,True,1.1465226036322187e-10,7.204953317281117e-07,3.6449818937750377e-13,1.023438355695689e-08,0.002000093460083008
10.0,3,0.0001,0.0001,500,7500,False,31.41812997954676,1.4864026717068436e-06,0.638705723315466,0.3213019873442694,0.0713350772857666
10.0,3,0.001,0.0001,500,7058,False,0.0413084088837531,2.520280508717007e-08,0.00043000974263725233,0.0006681173084709506,0.0677182674407959
10.0,3,0.01,0.0001,150,2103,True,9.148856718844914e-07,6.244681846552515e-12,4.7107917245252845e-09,1.5368628302891323e-08,0.021088123321533203
10.0,3,0.1,0.0001,22,414,True,5.534209075154566e-07,6.287770864810267e-11,3.2267963790310403e-09,9.273973307747225e-09,0.004001617431640625
10.0,3,1.0,0.0001,7,196,True,2.639173370184253e-07,1.8415909485087095e-09,2.956698208504137e-09,4.228854398937133e-09,0.0020112991333007812
10.0,3,10.0,0.0001,4,117,True,1.5272779569483313e-07,8.619048142743373e-08,1.0235288761488181e-09,2.195119697554296e-09,0.0009884834289550781
10.0,3,100.0,0.0001,4,152,True,2.3152955832180672e-08,8.333110263759658e-08,4.594821293152886e-11,1.4421609596013288e-09,0.0020003318786621094
10.0,3,1000.0,0.0001,4,177,True,3.7419153074597065e-08,2.251296469235153e-07,2.5552868503133105e-10,2.3923733056355566e-09,0.0010004043579101562
10.0,3,10000.0,0.0001,5,211,True,8.774309112729846e-12,2.3795207622836085e-07,1.239126770611071e-14,1.3056397074400576e-09,0.0019989013671875
